Census Tract,Academic,Activities,Administration,Adult Care Facilities,Adult Day Care,Adult Enriched Housing,Adult Entertainment (X-Rated),Air Pollution / Air Quality Station,American Legion,"Animal Shelter, Vet",Apartments,Apts In Multi Use Bldg,Athletic Fields,Auditorium,Authority Garage,Auto Dealership,Auto Parts,Auto Related Services,Auto Rental,Auto Towing,Bagel/Donut Shop,Bakery,Bank,Bar,Bar (X-Rated),Bed & Breakfast,Benevolent Org,Body Shop,Bowling Alley,Bus Shelter,Bus Transfer  Hub,Business School,Cable Tv Facility,Car Wash,Cell Facility On Bldg,Cell Facility On Other Antenna,Cell Facility On Water Tower,Cell Tower,Cemetery,Chapel,Chinese,Chiropractic,Church,Church Hall,City Garage,City Government,City Park (Community Park),City Park (Downtown Park),City Park (Medians),City Park (Natural Area),City Park (Neighborhood Park),City Park (Open Space),City Park (Playground),Cnyrta Garage,Coffee,Cold Storage,College,Community Center,Community Police Center,Community Residence,Condo,Convenience Store,Convent,Converted House,Corrections,Country Club,County Garage,County Govt,County Neighborhood Office,County Park,Credit Union,Day Care,Deli,Dentist Office,Diner,Dining Hall,District Office,Doctor Office In House,Dorm,Drug Store,Dry Cleaner,Education (Non-Instructional),Educational Facility,El,Electric Facilty,"Electric, Gas Facility",Elks,Ems,Ems Staging Area,Ethnic Foods,Faculty Residence,Fast Food,Federal Govt,Feed Sales Outlet,Field Station,"Fire Dept (Admin, Training Etc)",Fire House,Fish,Fitness,Floatable Facility,Flood Control,Frat/Sor House,"Fuel Storage, Distribution",Funeral Home,Furniture,Gas Station,Glass,Golf Course,Government,Gymnasium,Health Facility,Heavy Equipment,High,Home Improvement,Homeless Shelter,Honeywell Lake Project,Hospital,Hospitality House (Non-Profit),Hotel,Ice Cream,Inactive Or Historic Cemetery,Indoor Parking Garage,Indoor Skating Rink,Indoor Sports,Infirmary,Jewelry,Junkyard,Large Retail Store,Laundromat,Law Office,Lawn And Snow Removal,Library,Library (Ocpl Member),Limousine Service,Liquor Store,Manufacturing,Masons,Mausoleum,"Meats, Fish",Miscellaneous Public Space,Moose,Mosque,Motel,Motorcycles,Movie Theatre,"Mufflers, Brakes",Multi Use Building,Museum,Natural Gas Facility,Neighborhood Shopping Center,Nursing Home,Nys Community Service,Off Campus Instructional,Office Bldg,Office Park,Office Supplies,Oil Change,Optometrist/Eye Care,Org / Management,Other Health Facility,Outdoor Parking Lot,Outdoor Sports,Painting,Park,Pharmacy,Physical Plant,Physical Therapy,Pizza,Playground,Police Station,Pool Hall / Video Games,Post Office,Private School Bus,Professional Bldg,Professional Bldg (Medical),Public Authority,Public Safety,Public Safety Administrative,Pump House,Pump Stations,Radio,Radio Broadcast Tower,Radio Station,Railroad Facility,Recruiting Office,Rectory,Regional Shopping Center,Religious Residence,Religious School,Repair,Reservoir,Rest Home (Non-Medical),Restaurant,Rooming House/ Sro,Rustproofing,School,School Bus Garage,Self Storage,Senior,Senior And Mixed,Sfd Virtual Sta,Single Family House,Small Retail Store,Small Single-Use Bldg,"Small, Multi-Use Bldg",Social Organization,Social Store,Special School,Special Social,Spiritual Center,Sporting Goods (Including Guns),Stadium,State Garage,State Govt,State Park,STJ HOSP,Storefront  Church,Student Housing,Sub Shop,Supermarkets,Swimming Pool,Synagogue,Take Out Food,Telephone Facility,Theatre,Three-Family House,Tires,Town/Vill/Park,Transmission,Treatment Plants,Truck Repair,Truck Stop,Truck Tires,Trucking Terminal,Trucks Only,Tv Station,Two-Family House,Used Car Only,Vacant Bldg,Vfw,Warehouse,Water Supply,Water Tank,Wholesale Club,Ymca,Youth Home,Zoo,Grand Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0,0,0.006410256,0.003205128,0,0,0,0.003205128,0,0.003205128,0,0,0,0.003205128,0.012820513,0,0,0.009615385,0,0,0,0,0,0,0,0.003205128,0,0.003205128,0,0,0,0,0,0,0,0,0,0.003205128,0,0,0,0,0,0,0,0,0.006410256,0,0,0,0,0,0.003205128,0,0.003205128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003205128,0,0,0,0,0,0,0.003205128,0.006410256,0,0,0.006410256,0,0,0.003205128,0.003205128,0,0,0,0,0.009615385,0,0.003205128,0,0.003205128,0,0,0.006410256,0,0,0.166666667,0,0,0,0,0,0.003205128,0,0,0,0,0,0.003205128,0.006410256,0.032051282,0,0,0,0.006410256,0,0,0.003205128,0,0,0,0,0,0,0,0,0,0,0.032051282,0,0,0,0,0,0,0,0,0.003205128,0,0,0,0,0,0,0,0,0.003205128,0,0,0,0,0,0,0,0,0.003205128,0.003205128,0.003205128,0.012820513,0,0,0.006410256,0,0,0,0,0,0.003205128,0,0,0,0.003205128,0.006410256,0,0,0,0.096153846,0.003205128,0.067307692,0.003205128,0,0,0,0,0,0,0.006410256,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009615385,0.003205128,0,0.006410256,0.019230769,0,0.003205128,0.003205128,0.003205128,0,0,0.112179487,0.006410256,0.096153846,0,0.115384615,0,0,0,0,0,0,1
2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0.002570694,0.002570694,0.000856898,0.000856898,0.003427592,0,0,0,0,0,0.000856898,0,0,0,0.000856898,0,0,0.000856898,0,0,0,0,0,0,0,0.000856898,0,0.000856898,0.000856898,0,0,0,0,0,0,0.000856898,0,0,0.002570694,0,0,0,0,0,0,0,0,0,0,0.000856898,0,0.000856898,0,0,0,0,0,0,0,0,0,0.000856898,0,0,0,0.000856898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001713796,0,0.000856898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000856898,0,0,0,0,0.000856898,0,0,0,0,0,0.000856898,0.002570694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000856898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000856898,0,0,0,0.002570694,0,0,0,0.000856898,0.000856898,0,0,0.455012853,0.00428449,0.009425878,0.000856898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024850043,0,0,0,0,0,0,0,0,0.001713796,0,0.353898886,0.005998286,0.027420737,0,0.011139674,0,0,0,0,0,0,1
3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001552795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001552795,0,0.001552795,0,0,0,0,0,0,0,0,0,0,0,0,0.001552795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001552795,0,0,0,0,0,0.001552795,0,0,0,0,0,0.736024845,0,0.001552795,0,0.001552795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001552795,0,0,0,0,0,0,0,0,0,0,0.163043478,0,0.004658385,0,0,0,0,0,0,0,0,1
4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0.000670691,0,0,0,0,0,0,0,0,0,0,0.000670691,0,0,0,0.001341382,0,0,0,0.000670691,0,0,0,0,0,0,0,0.000670691,0,0,0,0,0,0,0.000670691,0,0.000670691,0,0.000670691,0,0.000670691,0,0,0,0,0,0,0,0.000670691,0,0.000670691,0,0,0,0,0,0.000670691,0,0,0,0.000670691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000670691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000670691,0,0,0,0,0,0.000670691,0,0,0,0,0,0.753856472,0.000670691,0.004024145,0,0.000670691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007377599,0,0,0,0,0,0,0,0,0,0,0.200536553,0.000670691,0.004024145,0,0,0,0,0,0,0,0,1
5.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00375,0,0.00625,0.0025,0,0.00125,0.00125,0,0,0,0,0,0,0.0025,0,0,0,0,0,0,0,0.005,0.0025,0,0,0,0,0.0025,0,0,0,0.00125,0,0,0,0,0,0,0,0,0.01,0.00125,0,0,0,0,0,0,0,0.00125,0,0,0.00125,0.005,0,0,0.00125,0,0.00125,0,0,0,0,0,0,0,0,0,0.00625,0,0,0,0,0,0.00125,0.00125,0,0,0,0,0,0,0.0025,0.00125,0.0025,0,0,0,0,0.0025,0,0,0,0,0,0,0,0,0.00125,0,0,0,0,0,0,0,0,0.00125,0,0,0,0,0,0,0.00125,0,0,0,0,0,0,0,0,0,0,0.00125,0,0,0,0,0,0,0.00125,0,0,0,0,0.00125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00125,0,0,0,0.0075,0,0,0.00375,0.00125,0,0.00125,0,0,0.00125,0,0,0.2025,0.01125,0.085,0.00125,0.00125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065,0,0.0025,0,0,0,0,0,0,0,0,0.22375,0.00375,0.08,0,0.01625,0,0,0,0,0,0,1
6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0.001256281,0,0.001256281,0.001256281,0,0,0.001256281,0,0,0,0,0.001256281,0,0,0,0,0,0,0,0.001256281,0.001256281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003768844,0.002512563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001256281,0,0,0,0,0,0,0.001256281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001256281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001256281,0,0.001256281,0,0,0,0,0.001256281,0,0,0.001256281,0,0,0.001256281,0,0,0.50879397,0,0.007537688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043969849,0,0,0,0,0,0,0,0,0,0,0.301507538,0,0.007537688,0,0.001256281,0,0,0,0,0,0,1
7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.008163265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004081633,0,0,0,0,0,0,0,0,0,0,0,0,0.006122449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002040816,0,0,0,0,0,0,0,0,0,0,0,0.563265306,0,0.004081633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030612245,0,0,0,0,0,0,0,0,0,0,0.33877551,0,0.002040816,0,0,0,0,0,0,0,0,1
8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00110742,0,0.00110742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00110742,0,0,0,0.00110742,0,0.002214839,0,0,0,0,0,0,0,0,0.00110742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00110742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00110742,0.00110742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00110742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.550387597,0.002214839,0.008859358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00110742,0,0,0,0,0.016611296,0,0,0,0,0,0,0,0,0,0,0.357696567,0,0.004429679,0,0,0,0,0,0,0,0,1
9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000803859,0.000803859,0,0,0,0,0,0.000803859,0,0,0.000803859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000803859,0,0,0,0,0,0,0,0,0,0,0,0.000803859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000803859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000803859,0,0.000803859,0,0,0,0,0,0.754019293,0,0.000803859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011254019,0,0,0,0,0,0,0,0,0,0,0.190514469,0,0,0,0,0,0,0,0,0,0,1
10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.002863278,0.002147459,0,0,0,0,0,0,0,0,0,0,0.00071582,0,0,0,0.001431639,0,0,0,0.002147459,0,0,0,0,0,0,0,0.00071582,0,0,0,0,0,0,0,0,0.001431639,0.00071582,0.00071582,0.00071582,0,0,0,0,0,0,0,0,0,0.001431639,0,0.001431639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00071582,0,0,0,0,0,0.00071582,0.00071582,0,0,0,0,0.00071582,0,0.00071582,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00071582,0,0,0,0,0,0.00071582,0,0.00071582,0,0.001431639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00071582,0,0,0,0.002863278,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002147459,0,0,0,0.00071582,0,0,0,0,0,0,0,0,0,0,0,0,0.00071582,0,0,0,0,0,0,0,0.001431639,0,0,0.00071582,0,0,0,0,0,0.526127416,0.004294918,0.015032212,0.001431639,0.00071582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00071582,0,0.012168933,0,0,0,0,0,0,0,0,0,0,0.141732283,0.00071582,0.007158196,0,0.002863278,0,0,0,0,0,0,1
14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00147929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00591716,0,0,0,0,0,0,0,0,0,0,0,0,0.00147929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00147929,0,0.00295858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00147929,0,0,0,0.00147929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00147929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00147929,0,0,0.00147929,0,0,0.415680473,0.00295858,0.00591716,0.00147929,0,0,0,0,0,0,0,0,0,0,0,0.00147929,0,0,0,0,0,0,0,0,0.075443787,0,0,0,0,0,0,0,0,0,0,0.371301775,0,0.013313609,0,0.00147929,0,0,0,0,0,0,1
15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0.002743484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001371742,0.001371742,0,0,0,0,0,0,0.001371742,0,0.004115226,0,0,0,0,0,0,0,0,0,0,0.001371742,0,0,0,0,0,0,0,0,0,0,0,0.001371742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001371742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002743484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001371742,0,0,0,0,0,0,0,0,0.417009602,0.005486968,0.016460905,0,0.001371742,0,0.002743484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058984911,0,0,0,0,0,0,0,0,0,0,0.371742112,0,0.002743484,0,0,0,0,0,0,0,0,1
16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.007722008,0,0,0,0,0,0,0.034749035,0,0.003861004,0,0,0.003861004,0,0,0.003861004,0,0,0,0,0.003861004,0,0,0,0,0,0.003861004,0,0,0,0,0,0,0,0,0.003861004,0,0.003861004,0,0.007722008,0,0,0,0,0,0,0,0,0,0.003861004,0,0,0.003861004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003861004,0,0,0,0.003861004,0,0,0,0,0,0.003861004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011583012,0,0,0.081081081,0,0,0,0,0,0.027027027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007722008,0,0,0,0,0,0,0,0.003861004,0,0,0,0,0,0,0.007722008,0,0,0.015444015,0.007722008,0,0,0,0,0.011583012,0,0,0.150579151,0.007722008,0.084942085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019305019,0,0,0,0,0,0,0,0,0,0.007722008,0.142857143,0,0.034749035,0,0.003861004,0,0,0,0,0,0,1
17.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0.001243781,0,0.001243781,0,0.001243781,0,0,0,0,0,0,0.001243781,0,0,0,0,0,0,0,0.001243781,0,0,0,0,0,0,0,0.001243781,0,0.001243781,0,0,0,0,0,0,0.001243781,0,0.001243781,0.001243781,0,0,0,0,0,0,0,0,0.002487562,0,0,0,0,0,0,0,0,0,0,0,0,0.001243781,0,0,0,0,0,0,0,0,0,0,0,0.001243781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001243781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001243781,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002487562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001243781,0,0,0,0.003731343,0,0,0,0,0,0,0,0,0.001243781,0,0.001243781,0.524875622,0,0.009950249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001243781,0,0,0,0,0.019900498,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0.009950249,0,0.012437811,0,0,0,0,0,0,1
17.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0.001998002,0,0,0.000999001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000999001,0,0,0,0,0,0,0,0,0,0.000999001,0,0,0,0,0,0,0,0,0.000999001,0,0,0,0,0,0,0,0,0,0,0,0.001998002,0.000999001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000999001,0,0,0,0,0,0,0,0,0,0.000999001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000999001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001998002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000999001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000999001,0,0,0,0,0,0,0,0,0.606393606,0.000999001,0.007992008,0,0.000999001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016983017,0,0,0,0,0,0,0,0,0,0,0.305694306,0.000999001,0,0,0.002997003,0,0,0,0,0,0,1
18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.000898473,0.002695418,0,0,0,0,0,0,0,0,0,0,0.000898473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000898473,0,0,0,0,0,0,0,0.000898473,0,0,0.001796945,0,0,0,0,0,0,0,0,0,0,0.000898473,0,0.000898473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000898473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000898473,0,0,0,0,0,0,0,0,0.000898473,0,0,0,0,0,0,0,0,0.001796945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000898473,0,0,0,0,0,0.000898473,0,0,0,0,0,0.615453729,0.002695418,0.008984726,0.001796945,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000898473,0,0,0,0,0,0,0.013477089,0,0,0,0,0,0,0,0,0,0,0.291105121,0,0.004492363,0,0.001796945,0,0,0,0,0,0,1
19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.000607165,0.000607165,0,0,0,0.000607165,0,0.001821494,0,0,0,0,0.001214329,0,0,0.000607165,0,0,0,0,0.001214329,0,0,0,0,0,0.000607165,0,0,0,0,0,0,0,0,0,0,0,0,0.000607165,0,0,0,0,0,0,0,0,0,0.000607165,0,0,0,0,0,0,0,0.000607165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000607165,0,0.000607165,0,0,0,0,0,0,0.001821494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000607165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002428658,0,0,0,0,0,0.000607165,0,0,0,0,0,0,0,0.000607165,0,0,0,0,0,0,0,0,0,0,0.000607165,0,0,0,0,0,0,0,0,0,0.000607165,0.001214329,0,0,0.000607165,0,0,0,0,0,0.000607165,0,0,0.812386157,0.000607165,0.009714633,0.000607165,0.000607165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004250152,0,0,0,0,0,0,0,0,0,0,0.117789921,0.000607165,0.001214329,0,0.001821494,0,0,0,0,0,0,1
