Census Tract,Pop 16 plus Civilian labor force,Pop 16 plus Employed,Pop 16 plus Unemployed,Pop 16 plus Armed Forces,Females 16 plus Employment Status,"Car, truck, or van -- drove alone","Car, truck, or van -- carpooled",Public transportation,Walked,Worked at home,Percent Livingin Poverty
43.02,31.50%,24.00%,7.50%,0.10%,24.00%,10.20%,1.10%,7.90%,64.10%,16.80%,82.4
56.02,37.20%,31.50%,5.70%,0.00%,33.80%,23.60%,2.90%,31.20%,33.30%,9.00%,81.8
42.00,55.30%,33.70%,21.60%,0.00%,30.30%,46.80%,15.10%,15.90%,18.00%,3.30%,69.5
44.00,54.90%,52.70%,2.10%,0.00%,50.40%,48.00%,3.00%,2.80%,39.70%,1.80%,68.6
30.00,41.40%,33.00%,8.40%,0.00%,32.40%,41.60%,3.90%,31.30%,11.00%,5.10%,68.2
43.01,33.90%,26.70%,7.20%,0.00%,34.50%,30.30%,5.70%,12.30%,45.20%,6.40%,63.7
39.00,47.10%,35.90%,11.20%,0.00%,35.00%,56.90%,7.50%,17.10%,9.90%,2.70%,58.2
34.00,44.70%,41.30%,3.40%,0.00%,48.60%,38.50%,0.00%,3.80%,57.70%,0.00%,54.1
21.01,65.20%,53.00%,12.20%,0.00%,51.30%,58.20%,7.00%,15.20%,16.50%,3.20%,52.0
58.00,54.20%,42.60%,11.50%,0.00%,47.10%,59.60%,8.60%,20.60%,7.10%,1.30%,52.0
35.00,58.10%,50.00%,8.20%,0.00%,45.90%,56.00%,10.50%,3.60%,23.00%,1.20%,51.2
5.01,56.60%,46.70%,9.90%,0.00%,50.10%,51.10%,21.10%,11.40%,12.40%,0.70%,51.1
54.00,53.00%,37.30%,15.70%,0.00%,38.90%,63.80%,12.40%,15.70%,6.80%,0.10%,47.8
15.00,51.30%,41.70%,9.60%,0.00%,36.30%,56.90%,17.50%,14.00%,1.80%,1.80%,47.7
2.00,65.60%,61.70%,3.80%,0.00%,58.70%,56.60%,21.00%,13.90%,3.50%,0.00%,47.5
51.00,52.30%,43.80%,8.60%,0.00%,46.10%,68.80%,12.10%,8.50%,4.20%,3.10%,45.2
38.00,51.50%,39.40%,12.10%,0.00%,37.60%,65.40%,12.00%,9.80%,7.00%,0.00%,45.1
53.00,41.50%,31.20%,10.30%,0.00%,32.60%,69.60%,6.60%,18.50%,1.10%,2.90%,44.9
40.00,54.10%,46.70%,7.40%,0.00%,42.00%,43.00%,14.30%,19.50%,20.80%,0.00%,44.4
52.00,48.90%,36.40%,12.50%,0.00%,35.20%,46.10%,25.40%,12.50%,11.00%,0.90%,42.2
36.01,57.90%,46.60%,11.30%,0.00%,45.90%,64.00%,14.00%,7.80%,5.60%,2.00%,42.0
24.00,60.70%,52.70%,8.00%,0.00%,46.80%,52.70%,19.60%,7.90%,18.20%,1.60%,41.8
1.00,57.40%,50.40%,7.00%,0.00%,40.90%,66.00%,13.00%,0.00%,7.50%,9.90%,41.3
32.00,38.20%,35.00%,3.20%,0.00%,45.60%,36.60%,7.90%,4.70%,48.00%,2.70%,40.0
23.00,47.30%,42.10%,5.20%,0.00%,31.90%,51.90%,18.10%,6.20%,17.90%,2.10%,38.5
45.00,64.80%,61.50%,3.30%,0.30%,55.10%,56.10%,4.80%,2.20%,30.90%,2.30%,38.3
14.00,48.90%,40.90%,8.00%,0.00%,37.30%,56.80%,16.80%,4.20%,10.10%,5.60%,35.9
59.00,50.10%,35.80%,14.30%,0.00%,37.30%,58.60%,11.50%,13.80%,3.80%,5.90%,34.6
20.00,61.40%,56.20%,5.20%,0.00%,58.00%,72.00%,10.50%,5.20%,4.60%,4.20%,34.4
55.00,62.50%,58.30%,4.20%,0.00%,60.30%,49.70%,16.30%,19.80%,6.60%,5.90%,34.1
61.02,49.80%,42.60%,7.20%,0.00%,43.40%,77.90%,4.70%,11.20%,0.00%,6.20%,34.1
49.00,53.80%,50.30%,3.50%,0.00%,42.80%,82.00%,8.80%,7.40%,0.00%,0.00%,32.9
16.00,40.60%,35.20%,5.40%,0.00%,36.40%,52.70%,6.00%,23.00%,15.80%,1.30%,32.7
6.00,55.10%,40.20%,14.90%,0.00%,39.30%,61.40%,18.20%,8.70%,6.70%,1.60%,31.4
17.01,56.60%,48.20%,8.30%,0.00%,46.00%,72.30%,11.00%,9.50%,3.90%,3.30%,29.2
61.01,47.70%,43.80%,3.90%,0.00%,37.50%,63.10%,15.00%,13.70%,3.80%,0.00%,27.3
57.00,62.70%,54.60%,8.10%,0.00%,57.30%,63.10%,11.40%,14.00%,5.80%,4.90%,25.3
7.00,67.50%,54.70%,12.80%,0.00%,47.80%,59.10%,15.20%,7.00%,5.20%,1.80%,25.1
27.00,66.10%,61.90%,4.10%,0.00%,61.20%,77.70%,6.10%,7.90%,5.00%,0.70%,22.4
10.00,64.90%,59.10%,5.80%,0.00%,54.80%,82.20%,4.50%,3.30%,6.70%,3.30%,21.9
29.01,80.90%,76.30%,4.50%,0.00%,76.80%,81.20%,8.50%,6.10%,2.30%,0.00%,21.9
8.00,70.10%,64.30%,5.80%,0.00%,64.70%,66.50%,9.10%,5.60%,10.30%,1.10%,21.0
60.00,61.30%,55.90%,5.40%,0.20%,61.00%,75.00%,10.00%,6.10%,4.30%,3.10%,19.5
4.00,62.60%,57.60%,4.90%,1.20%,57.40%,74.50%,13.80%,2.30%,1.80%,4.60%,17.5
3.00,66.90%,62.10%,4.70%,0.30%,59.20%,76.90%,12.60%,1.00%,3.50%,2.50%,16.5
50.00,79.10%,71.40%,7.60%,0.00%,67.90%,78.40%,9.50%,2.20%,0.00%,8.80%,13.9
17.02,75.60%,72.80%,2.80%,0.30%,69.30%,77.90%,4.00%,10.10%,3.10%,3.30%,13.2
18.00,67.90%,64.80%,3.10%,0.60%,63.00%,73.70%,12.30%,3.80%,1.10%,5.70%,12.5
46.00,59.20%,54.50%,4.60%,0.00%,51.40%,73.60%,3.00%,4.30%,10.00%,5.30%,12.5
19.00,64.70%,57.70%,7.00%,0.00%,54.60%,91.50%,3.40%,1.30%,3.40%,0.40%,12.3
36.02,70.40%,61.60%,8.70%,0.00%,55.30%,68.20%,14.60%,4.70%,9.70%,1.80%,11.4
56.01,72.00%,68.60%,3.30%,0.00%,62.70%,75.90%,6.10%,4.40%,3.30%,2.90%,10.6
9.00,69.50%,66.20%,3.30%,0.00%,66.80%,80.80%,6.40%,6.70%,0.50%,3.50%,9.7
61.03,72.10%,68.00%,4.10%,1.20%,67.70%,85.20%,9.10%,0.00%,1.00%,3.60%,9.3
48.00,61.40%,60.30%,1.10%,0.00%,41.30%,80.00%,5.40%,3.60%,7.20%,3.80%,9.1
