CensusTract,CensusTract2,CensusTract3,Population_16Plus,MOE_Population_16Plus,Population_LaborForce,MOE_Population_LaborForce,Population_Employed,MOE_Population_Employed,UnemploymentRate,MOE_UnemploymentRate,Households_Total,MedianIncome_dollars,MOE_MedianIncome_dollars,MeanIncome_dollars,MOE_MeanIncome_dollars,OOTotal,OONoVehicle,PercentOONoVehicle,ROTotal,RONoVehicle,PercentRONoVehicle,TotalHH,PercentNoVehicle
1.00,1,1,544.00,92.00,0.57,0.10,0.50,0.09,0.12,0.08,380.00,49605.00,16898.00,76788.00,15164.00,64.00,5.00,0.08,316.00,61.00,0.19,380.00,0.09
2.00,2,2,2224.00,276.00,0.66,0.07,0.62,0.07,0.06,0.04,1311.00,34883.00,2715.00,43242.00,5336.00,466.00,53.00,0.11,845.00,433.00,0.51,1311.00,0.23
3.00,3,3,1331.00,123.00,0.67,0.06,0.62,0.06,0.07,0.03,664.00,50244.00,9293.00,57044.00,5439.00,442.00,22.00,0.05,222.00,53.00,0.24,664.00,0.08
4.00,4,4,2942.00,252.00,0.64,0.06,0.58,0.05,0.08,0.04,1517.00,40387.00,6668.00,53851.00,7269.00,1052.00,43.00,0.04,465.00,164.00,0.35,1517.00,0.10
5.01,5.01,5.01,1471.00,231.00,0.57,0.08,0.47,0.07,0.17,0.07,858.00,22615.00,5135.00,27214.00,4437.00,101.00,16.00,0.16,757.00,365.00,0.48,858.00,0.24
6.00,6,6,2830.00,271.00,0.55,0.08,0.40,0.08,0.27,0.09,1437.00,25875.00,2940.00,30654.00,4690.00,226.00,5.00,0.02,1211.00,539.00,0.45,1437.00,0.21
7.00,7,7,1288.00,180.00,0.68,0.07,0.55,0.08,0.19,0.10,613.00,36648.00,7979.00,47742.00,8733.00,241.00,32.00,0.13,372.00,122.00,0.33,613.00,0.16
8.00,8,8,1818.00,219.00,0.70,0.06,0.64,0.06,0.08,0.05,960.00,32568.00,7743.00,43100.00,7514.00,352.00,69.00,0.20,608.00,183.00,0.30,960.00,0.16
9.00,9,9,2660.00,225.00,0.70,0.05,0.66,0.04,0.05,0.02,1362.00,71375.00,11018.00,89406.00,9646.00,989.00,6.00,0.01,373.00,26.00,0.07,1362.00,0.02
10.00,10,10,3109.00,273.00,0.65,0.06,0.59,0.07,0.09,0.05,2022.00,31871.00,4330.00,45118.00,8167.00,658.00,77.00,0.12,1364.00,515.00,0.38,2022.00,0.17
14.00,14,14,2274.00,362.00,0.49,0.08,0.41,0.07,0.16,0.06,934.00,20423.00,2997.00,32252.00,5967.00,272.00,38.00,0.14,662.00,342.00,0.52,934.00,0.24
15.00,15,15,2332.00,280.00,0.51,0.06,0.42,0.05,0.19,0.06,942.00,24635.00,4406.00,40440.00,4564.00,193.00,11.00,0.06,749.00,388.00,0.52,942.00,0.24
16.00,16,16,2930.00,273.00,0.41,0.06,0.35,0.06,0.13,0.07,1759.00,21747.00,3089.00,34310.00,8265.00,26.00,0.00,0.00,1733.00,1015.00,0.59,1759.00,0.29
17.01,17.01,17.01,1764.00,217.00,0.57,0.08,0.48,0.08,0.15,0.08,1001.00,27226.00,9899.00,39303.00,6664.00,427.00,78.00,0.18,574.00,185.00,0.32,1001.00,0.17
17.02,17.02,17.02,1963.00,219.00,0.76,0.06,0.73,0.06,0.04,0.03,1102.00,44437.00,3771.00,51042.00,5441.00,597.00,19.00,0.03,505.00,172.00,0.34,1102.00,0.12
18.00,18,18,2339.00,223.00,0.69,0.06,0.65,0.07,0.05,0.04,1269.00,44449.00,6997.00,53330.00,5085.00,736.00,9.00,0.01,533.00,129.00,0.24,1269.00,0.08
19.00,19,19,2890.00,204.00,0.65,0.06,0.58,0.06,0.11,0.05,1813.00,39945.00,8402.00,47916.00,5254.00,1179.00,38.00,0.03,634.00,140.00,0.22,1813.00,0.07
20.00,20,20,1679.00,158.00,0.61,0.06,0.56,0.06,0.08,0.05,948.00,30524.00,4294.00,37275.00,5244.00,420.00,50.00,0.12,528.00,149.00,0.28,948.00,0.13
21.01,21.01,21.01,2078.00,246.00,0.65,0.07,0.53,0.06,0.19,0.06,1072.00,22444.00,7645.00,34368.00,5218.00,258.00,45.00,0.17,814.00,371.00,0.46,1072.00,0.22
23.00,23,23,1449.00,166.00,0.47,0.06,0.42,0.06,0.11,0.06,938.00,19537.00,3574.00,35465.00,16363.00,62.00,11.00,0.18,876.00,498.00,0.57,938.00,0.28
24.00,24,24,1318.00,205.00,0.61,0.07,0.53,0.08,0.13,0.07,751.00,22036.00,4422.00,25843.00,3377.00,99.00,4.00,0.04,652.00,271.00,0.42,751.00,0.20
27.00,27,27,1650.00,165.00,0.66,0.07,0.62,0.06,0.06,0.04,897.00,33317.00,8260.00,46537.00,5024.00,298.00,4.00,0.01,599.00,200.00,0.33,897.00,0.14
29.01,29.01,29.01,2235.00,216.00,0.81,0.04,0.76,0.04,0.06,0.04,1330.00,50323.00,9981.00,58051.00,10579.00,476.00,57.00,0.12,854.00,102.00,0.12,1330.00,0.07
30.00,30,30,1306.00,145.00,0.41,0.09,0.33,0.08,0.20,0.08,842.00,12799.00,2823.00,16835.00,2731.00,87.00,8.00,0.09,755.00,508.00,0.67,842.00,0.32
32.00,32,32,2138.00,565.00,0.38,0.11,0.35,0.10,0.08,0.06,1059.00,26696.00,28749.00,52254.00,15433.00,47.00,20.00,0.43,1012.00,388.00,0.38,1059.00,0.20
34.00,34,34,1111.00,208.00,0.45,0.10,0.41,0.11,0.08,0.06,633.00,14969.00,4971.00,22970.00,5154.00,55.00,0.00,0.00,578.00,217.00,0.38,633.00,0.18
35.00,35,35,1713.00,234.00,0.58,0.10,0.50,0.10,0.14,0.08,947.00,17863.00,4674.00,35834.00,7625.00,256.00,15.00,0.06,691.00,333.00,0.48,947.00,0.21
36.01,36.01,36.01,1760.00,181.00,0.58,0.06,0.47,0.06,0.20,0.07,867.00,25750.00,14585.00,36577.00,5643.00,333.00,20.00,0.06,534.00,261.00,0.49,867.00,0.20
36.02,36.02,36.02,1741.00,145.00,0.70,0.05,0.62,0.05,0.12,0.05,957.00,41676.00,6519.00,48475.00,4779.00,439.00,7.00,0.02,518.00,158.00,0.31,957.00,0.11
38.00,38,38,1883.00,216.00,0.52,0.09,0.39,0.08,0.23,0.09,936.00,25682.00,9498.00,32565.00,6614.00,330.00,18.00,0.05,606.00,317.00,0.52,936.00,0.22
39.00,39,39,2401.00,251.00,0.47,0.07,0.36,0.06,0.24,0.06,1242.00,19758.00,6165.00,28839.00,4166.00,383.00,53.00,0.14,859.00,564.00,0.66,1242.00,0.29
40.00,40,40,1201.00,260.00,0.54,0.11,0.47,0.10,0.14,0.09,529.00,29438.00,12507.00,40729.00,11965.00,182.00,35.00,0.19,347.00,200.00,0.58,529.00,0.27
42.00,42,42,1444.00,121.00,0.55,0.06,0.34,0.05,0.39,0.08,933.00,11744.00,1463.00,16344.00,2516.00,33.00,0.00,0.00,900.00,672.00,0.75,933.00,0.37
43.01,43.01,43.01,1512.00,191.00,0.34,0.08,0.27,0.08,0.21,0.09,528.00,9268.00,1054.00,23893.00,14003.00,11.00,7.00,0.64,517.00,403.00,0.78,528.00,0.39
43.02,43.02,43.02,6678.00,532.00,0.32,0.04,0.24,0.03,0.24,0.07,475.00,9171.00,1324.00,12762.00,2994.00,2.00,0.00,0.00,473.00,236.00,0.50,475.00,0.25
44.00,44,44,1956.00,202.00,0.55,0.07,0.53,0.07,0.04,0.03,637.00,19844.00,8884.00,60753.00,10390.00,183.00,5.00,0.03,454.00,57.00,0.13,637.00,0.06
45.00,45,45,3687.00,442.00,0.65,0.09,0.62,0.08,0.05,0.03,1503.00,48380.00,13909.00,60331.00,7473.00,688.00,28.00,0.04,815.00,136.00,0.17,1503.00,0.07
46.00,46,46,4479.00,327.00,0.59,0.05,0.55,0.06,0.08,0.04,1984.00,73000.00,20521.00,100256.00,17979.00,1560.00,0.00,0.00,424.00,133.00,0.31,1984.00,0.06
48.00,48,48,1300.00,124.00,0.61,0.07,0.60,0.07,0.02,0.02,664.00,65278.00,11819.00,75381.00,7083.00,564.00,38.00,0.07,100.00,23.00,0.23,664.00,0.08
49.00,49,49,1018.00,133.00,0.54,0.08,0.50,0.09,0.07,0.06,531.00,39688.00,11871.00,55202.00,9440.00,288.00,11.00,0.04,243.00,55.00,0.23,531.00,0.09
50.00,50,50,2139.00,145.00,0.79,0.05,0.71,0.05,0.10,0.04,1064.00,66371.00,8683.00,84146.00,9067.00,723.00,7.00,0.01,341.00,87.00,0.26,1064.00,0.07
51.00,51,51,1576.00,171.00,0.52,0.06,0.44,0.06,0.16,0.07,840.00,24394.00,6017.00,34822.00,4493.00,369.00,74.00,0.20,471.00,179.00,0.38,840.00,0.19
52.00,52,52,1492.00,223.00,0.49,0.06,0.36,0.06,0.26,0.09,668.00,22708.00,5034.00,34021.00,6712.00,187.00,34.00,0.18,481.00,279.00,0.58,668.00,0.27
53.00,53,53,1212.00,163.00,0.42,0.08,0.31,0.07,0.25,0.10,554.00,21382.00,5436.00,29725.00,5156.00,126.00,16.00,0.13,428.00,154.00,0.36,554.00,0.17
54.00,54,54,2096.00,168.00,0.53,0.07,0.37,0.07,0.30,0.10,873.00,29938.00,9913.00,49676.00,20160.00,315.00,42.00,0.13,558.00,299.00,0.54,873.00,0.24
55.00,55,55,3115.00,318.00,0.63,0.07,0.58,0.07,0.07,0.04,1780.00,28953.00,1948.00,33992.00,4493.00,415.00,0.00,0.00,1365.00,391.00,0.29,1780.00,0.12
56.01,56.01,56.01,1205.00,84.00,0.72,0.06,0.69,0.06,0.05,0.03,690.00,79070.00,5741.00,101697.00,22190.00,587.00,46.00,0.08,103.00,6.00,0.06,690.00,0.07
56.02,56.02,56.02,3725.00,441.00,0.37,0.04,0.32,0.04,0.15,0.05,198.00,13304.00,15193.00,38385.00,15255.00,35.00,0.00,0.00,163.00,26.00,0.16,198.00,0.07
57.00,57,57,1352.00,141.00,0.63,0.08,0.55,0.08,0.13,0.05,723.00,36354.00,11621.00,44506.00,5753.00,452.00,69.00,0.15,271.00,82.00,0.30,723.00,0.15
58.00,58,58,1767.00,197.00,0.54,0.06,0.43,0.06,0.21,0.08,836.00,29014.00,2913.00,35750.00,5385.00,269.00,9.00,0.03,567.00,298.00,0.53,836.00,0.22
59.00,59,59,1327.00,180.00,0.50,0.08,0.36,0.07,0.29,0.10,559.00,29297.00,9934.00,30564.00,5923.00,237.00,46.00,0.19,322.00,150.00,0.47,559.00,0.22
60.00,60,60,2865.00,222.00,0.62,0.06,0.56,0.06,0.09,0.04,1541.00,33720.00,7381.00,53426.00,6764.00,1031.00,114.00,0.11,510.00,137.00,0.27,1541.00,0.12
61.01,61.01,61.01,3041.00,277.00,0.48,0.06,0.44,0.06,0.08,0.05,1422.00,28933.00,4167.00,36939.00,4209.00,512.00,25.00,0.05,910.00,488.00,0.54,1422.00,0.22
61.02,61.02,61.02,1753.00,150.00,0.50,0.07,0.43,0.07,0.14,0.12,1330.00,21744.00,2215.00,41784.00,12715.00,49.00,0.00,0.00,1281.00,409.00,0.32,1330.00,0.16
61.03,61.03,61.03,2082.00,149.00,0.73,0.04,0.68,0.05,0.06,0.04,1054.00,64565.00,5239.00,74034.00,9506.00,924.00,29.00,0.03,130.00,34.00,0.26,1054.00,0.05
